"code","des"
"86153","cell enumeration phys interp"
"86890","autologous blood process"
"86891","autologous blood op salvage"
"86927","plasma fresh frozen"
"86930","frozen blood prep"
"86931","frozen blood thaw"
"86932","frozen blood freeze/thaw"
"86945","blood product/irradiation"
"86950","leukacyte transfusion"
"86960","vol reduction of blood/prod"
"86965","pooling blood platelets"
"86985","split blood or products"
"0008M","onc breast risk score"
"0011M","onc prst8 ca mrna 12 gen alg"
"0012M","onc mrna 5 gen rsk urthl ca"
"0013M","onc mrna 5 gen recr urthl ca"
"0016M","onc bladder mrna 209 gen alg"
"0017M","onc dlbcl mrna 20 genes alg"
"0018U","onc thyr 10 microrna seq alg"
"0019U","onc rna tiss predict alg"
"0021U","onc prst8 detcj 8 autoantb"
"0022U","trgt gen seq dna&rna 23 gene"
"0023U","onc aml dna detcj/nondetcj"
"0024U","glyca nuc mr spectrsc quan"
"0025U","tenofovir liq chrom ur quan"
"0026U","onc thyr dna&mrna 112 genes"
"0027U","jak2 gene trgt seq alys"
"0029U","rx metab advrs trgt seq alys"
"0030U","rx metab warf trgt seq alys"
"0031U","cypia2 gene"
"0032U","comt gene"
"0033U","htr2a htr2c genes"
"0034U","tpmt nudt15 genes"
"0035U","neuro csf prion prtn qual"
"0036U","xome tum & nml spec seq alys"
"0037U","trgt gen seq rgt gen seq dna 324 genes"
"0038U","vitamin d srm microsamp quan"
"0039U","dna antb 2strand hi avidity"
"0040U","bcr/abl1 gene major bp quan"
"0041U","b brgdrferi antb 5 prtn igm"
"0042U","b brgdrferi antb 12 prtn igg"
"0043U","tbrg b grp antb 4 prtn igm"
"0044U","tbrf b grp antb 4 prtn igg"
"0045U","onc brst dux carc is 12 gene"
"0046U","flt3 genie itd variants quan"
"0047U","onc prst8 mrna 17 gene alg"
"0048U","onc sld org neo dna 468 gene"
"0049U","npm1 gene analysis quan"
"0050U","trgt gen seq dna 194 genes"
"0051U","rx mntr lc-ms/ms ur 31 pnl"
"0052U","lpoprtn bld w/5 maj classes"
"0053U","onc prst8 ca fish alys 4 gen"
"0054U","rx mntr 14+ drugs & sbsts"
"0055U","card hrt trnspl 96 dna seq"
"0056U","hem aml dna gene reargmt"
"0058U","onc merkel cll carc srm quan"
"0059U","onc merkel cll carc srm+/-"
"0060U","twn zyg gen seq alys chrms2"
"0061U","tc meas 5 bmrk sfdi m-s alys"
"0153U","onc breast mrna 101 genes"
"0154U","onc urthl ca rna fgfr3 gene"
"0155U","onc brst ca dna pik3ca gene"
"0172U","onc sld tum alys brca1 brca2"
"0174U","onc solid tumor 30 prtn trgt"
"0177U","onc brst ca dna pik3ca 11"
"0179U","onc nonsm cll lng ca alys 23"
"0202U","nfct ds 22 trgt sars-cov-2"
"0204U","onc thyr mrna xprsn alys 593"
"0208U","onc mtc mrna xprsn alys 108"
"0223U","nfct ds 22 trgt sars-cov-2"
"0224U","antibody sars-cov-2 titer(s)"
"0225U","nfct ds dna&rna 21 sarscov2"
"0226U","svnt sarscov2 elisa plsm srm"
"0229U","bcat1 promoter mthyltn alys"
