"code","des"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
1,"incision and excision of cns"
2,"insertion, replacement, or removal of extracranial ventricular shunt"
2,"insertion, replacement, or removal of extracranial ventricular shunt"
2,"insertion, replacement, or removal of extracranial ventricular shunt"
2,"insertion, replacement, or removal of extracranial ventricular shunt"
2,"insertion, replacement, or removal of extracranial ventricular shunt"
2,"insertion, replacement, or removal of extracranial ventricular shunt"
2,"insertion, replacement, or removal of extracranial ventricular shunt"
2,"insertion, replacement, or removal of extracranial ventricular shunt"
2,"insertion, replacement, or removal of extracranial ventricular shunt"
2,"insertion, replacement, or removal of extracranial ventricular shunt"
2,"insertion, replacement, or removal of extracranial ventricular shunt"
2,"insertion, replacement, or removal of extracranial ventricular shunt"
2,"insertion, replacement, or removal of extracranial ventricular shunt"
2,"insertion, replacement, or removal of extracranial ventricular shunt"
2,"insertion, replacement, or removal of extracranial ventricular shunt"
3,"laminectomy, excision intervertebral disc"
